Date,Open,High,Low,Close,Adj Close,Volume
2024-04-01,71333.484375,71342.093750,68110.695313,69702.148438,69702.148438,34873527352
2024-04-02,69705.023438,69708.382813,64586.593750,65446.972656,65446.972656,50705240709
2024-04-03,65446.671875,66914.320313,64559.898438,65980.812500,65980.812500,34488018367
2024-04-04,65975.695313,69291.257813,65113.796875,68508.843750,68508.843750,34439527442
2024-04-05,68515.757813,68725.757813,66011.476563,67837.640625,67837.640625,33748230056
2024-04-06,67840.570313,69629.601563,67491.718750,68896.109375,68896.109375,19967785809
2024-04-07,68897.109375,70284.429688,68851.632813,69362.554688,69362.554688,21204930369
2024-04-08,69362.554688,72715.359375,69064.242188,71631.359375,71631.359375,37261432669
2024-04-09,71632.500000,71742.507813,68212.921875,69139.015625,69139.015625,36426900409
2024-04-10,69140.242188,71093.429688,67503.562500,70587.882813,70587.882813,38318601774
2024-04-11,70575.734375,71256.234375,69571.812500,70060.609375,70060.609375,30153382941
2024-04-12,70061.382813,71222.742188,65254.835938,67195.867188,67195.867188,44129299406
2024-04-13,67188.375000,67931.429688,60919.105469,63821.472656,63821.472656,52869738185
2024-04-14,63836.230469,65824.429688,62205.851563,65738.726563,65738.726563,49084320047
2024-04-15,65739.648438,66878.648438,62332.070313,63426.210938,63426.210938,43595917654
2024-04-16,63419.296875,64355.667969,61716.402344,63811.863281,63811.863281,42847528078
2024-04-17,63831.847656,64486.363281,59768.585938,61276.691406,61276.691406,41915247049
2024-04-18,61275.316406,64125.687500,60833.480469,63512.753906,63512.753906,36006307335
2024-04-19,63510.750000,65481.597656,59651.390625,63843.570313,63843.570313,49920425401
2024-04-20,63851.101563,65442.457031,63172.402344,64994.441406,64994.441406,23097485495
2024-04-21,64992.816406,65723.242188,64277.722656,64926.644531,64926.644531,20506644853
2024-04-22,64935.632813,67233.960938,64548.179688,66837.679688,66837.679688,28282686673
2024-04-23,66839.890625,67199.242188,65864.867188,66407.273438,66407.273438,24310975583
2024-04-24,66408.718750,67075.367188,63589.871094,64276.898438,64276.898438,30276655120
2024-04-25,64275.019531,65275.207031,62783.632813,64481.707031,64481.707031,32155786816
2024-04-26,64485.371094,64789.656250,63322.398438,63755.320313,63755.320313,24139372950
2024-04-27,63750.988281,63898.363281,62424.718750,63419.140625,63419.140625,19530783039
2024-04-28,63423.515625,64321.484375,62793.597656,63113.230469,63113.230469,17334827993
2024-04-29,63106.363281,64174.878906,61795.457031,63841.121094,63841.121094,26635912073
2024-04-30,63839.417969,64703.332031,59120.066406,60636.855469,60636.855469,37840840057
